,Title,1st_topic,1st_topic_percentage,2nd_topic,2nd_topic_percentage
2989,The use of an advanced multi-systemic approach by social workers in handling corona virus,4.0,24.79,6.0,18.27
2990,An Improved Marine Predators Algorithm with Fuzzy Entropy for Multi-Level Thresholding: Real World Example of COVID-19 CT Image Segmentation,1.0,52.97,5.0,10.56
2991,"Have You Been a Victim of COVID-19-Related Cyber Incidents? Survey, Taxonomy, and Mitigation Strategies",6.0,23.6,3.0,17.9
2992,Identification of COVID-19 Spreaders Using Multiplex Networks Approach,4.0,24.26,5.0,17.18
2993,Indonesian rupiah exchange rate in facing COVID-19 (A time series-machine learning approach),4.0,30.8,6.0,18.47
2994,Daily forecast for covid-19 during ramadhan by singular spectrum analysis in Indonesia,4.0,39.13,5.0,17.68
2995,Engineering Design Thinking and Making: Online Transdisciplinary Teaching and Learning in a Covid-19 Context,0.0,45.19,5.0,11.72
2996,The provision of patron services in Chinese academic libraries responding to the COVID-19 pandemic,6.0,31.75,0.0,23.9
2997,Collaborative mobile seamless learning (Cmsl) based on android apps to improving critical thinking in higher education in the post-covid-19 era,0.0,38.53,1.0,16.23
2998,Discovering Unknown Diseases with Explainable Automated Medical Imaging,1.0,40.16,2.0,16.39
2999,Weakly Supervised Deep Learning for COVID-19 Infection Detection and Classification from CT Images,1.0,40.1,4.0,18.62
3000,The microcontroller of water filler in android based chicken laying,3.0,24.31,6.0,19.3
3001,"The perceived stress scale (Pss-10) in professors who are teaching online, a pilot study",0.0,41.18,6.0,12.09
3002,Understanding the strategic plan in managing business marketing in the outbreak of COVID-19 in Indonesia,6.0,41.55,5.0,15.05
3003,Education before the covid-19 pandemic,0.0,21.91,4.0,21.48
3004,"It security, governance and risk management in Vietnam human resource and medical equipment industry",3.0,28.18,6.0,28.12
3005,A comprehensive mapping of the druggable cavities within the SARS-CoV-2 therapeutically relevant proteins by combining pocket and docking searches as implemented in pockets 2.0,2.0,51.55,5.0,14.36
3006,"Blind-sided by privacy? Digital contact tracing, the Apple/Google API and big tech’s newfound role as global health policy makers",6.0,35.9,3.0,24.22
3007,Our digital footprint under Covid-19: should we fear the UK digital contact tracing app?,6.0,27.88,3.0,23.65
3008,You’ve got a friend in me: sociable robots for older adults in an age of global pandemics,6.0,28.42,3.0,21.95
3009,COVID-19 prediction and detection using deep learning,1.0,30.83,4.0,28.18
3010,Iteratively Pruned Deep Learning Ensembles for COVID-19 Detection in Chest X-Rays,1.0,50.04,2.0,12.23
3011,Transitioning to online learning during COVID-19 Pandemic: Case study of a Pre-University Centre in Malaysia,0.0,38.45,4.0,14.05
3012,Risk-Aware Identification of Highly Suspected COVID-19 Cases in Social IoT: A Joint Graph Theory and Reinforcement Learning Approach,4.0,24.52,1.0,24.14
3013,Domestic Enterprises in Supply Chains of Multinational Corporations: Vietnam Case Study,6.0,38.83,3.0,16.68
3014,Philippine twitter sentiments during COVID-19 pandemic using multinomial naïve-bayes,5.0,35.5,4.0,15.43
3015,A flexible learning framework implementing asynchronous course delivery for philippine local colleges and universities,0.0,45.2,4.0,11.5
3016,Envisioning Insight-Driven Learning Based on Thick Data Analytics with Focus on Healthcare,5.0,38.59,6.0,19.57
3017,E-Arbitration: A way forward to improve quality and service delivery in Malaysian dispute resolution industry,0.0,28.65,6.0,18.59
3018,Artificial Intelligence and COVID-19: Deep Learning Approaches for Diagnosis and Treatment,1.0,22.83,4.0,16.86
3019,The Digital/Technological Connection with COVID-19: An Unprecedented Challenge in University Teaching,0.0,44.04,4.0,14.47
3020,The policy of credit payment relaxation in overcoming the impact of covid-19 spread to the economic society in Indonesia,6.0,31.88,5.0,18.01
3021,The impact of COVID-19 pandemic on Jordanian civil engineers and construction industry,3.0,23.51,0.0,22.17
3022,Modelling Strong Control Measures for Epidemic Propagation with Networks - A COVID-19 Case Study,4.0,35.45,5.0,14.89
3023,Structure-based screening of novel lichen compounds against SARS Coronavirus main protease (Mpro) as potentials inhibitors of COVID-19,2.0,64.71,4.0,7.48
3024,Review of Sterilization Techniques for Medical and Personal Protective Equipment Contaminated with SARS-CoV-2,3.0,31.99,6.0,17.04
3025,"Data Modeling with Polynomial Representations and Autoregressive Time-Series Representations, and Their Connections",5.0,34.52,4.0,27.02
3026,Pattern analysis of corona virus disease (Covid-19)-outbreak in Malaysia,4.0,46.7,5.0,15.51
3027,CGRT: A four-tier approach for strengthening indian civilization in-and-post-COVID-19 pandemic,6.0,35.47,3.0,14.3
3028,COVID-19 Future Forecasting Using Supervised Machine Learning Models,4.0,34.93,1.0,25.94
3029,Particulate matter and COVID-19 disease diffusion in Emilia-Romagna (Italy). Already a cold case?,4.0,32.08,2.0,19.66
3030,"Dynamics of the COVID-19 Contagion and Mortality: Country Factors, Social Media, and Market Response Evidence from a Global Panel Analysis",6.0,31.61,4.0,30.21
3031,"A Predictive Nomogram for Predicting Improved Clinical Outcome Probability in Patients with COVID-19 in Zhejiang Province, China",4.0,26.15,1.0,24.79
3032,Location-based games and the COVID-19 pandemic: An analysis of responses from game developers and players,6.0,36.34,0.0,12.82
3033,Doing nothing does something: Embodiment and data in the COVID-19 pandemic,6.0,23.28,5.0,20.97
3034,How are students motivated for learning multidisciplinary field: Biomedical engineering?,0.0,40.19,5.0,15.26
3035,An instructional design for online learning in vocational education according to a self-regulated learning framework for problem solving during the covid-19 crisis,0.0,43.27,6.0,11.94
3036,Modelling the impact of COVID-19 on elective waiting times,4.0,29.6,3.0,14.83
3037,Benchmarking Methodology for Selection of Optimal COVID-19 Diagnostic Model Based on Entropy and TOPSIS Methods,1.0,45.45,4.0,15.19
3038,Evaluating How Smartphone Contact Tracing Technology Can Reduce the Spread of Infectious Diseases: The Case of COVID-19,3.0,34.84,4.0,27.45
3039,Global challenges are not for women: Gender peculiarities of content in Ukrainian Facebook community during high-involving social discussions,6.0,41.18,5.0,14.62
3040,Non-Contact Respiratory Rate Estimation in Real-Time with Modified Joint Unscented Kalman Filter,3.0,28.48,1.0,26.79
3041,"Is MOOC learning different for dropouts? A visually-driven, multi-granularity explanatory ML approach",0.0,22.14,5.0,21.39
3042,"A Comprehensive Review of the COVID-19 Pandemic and the Role of IoT, Drones, AI, Blockchain, and 5G in Managing its Impact",6.0,26.05,4.0,22.75
3043,Remote eye-tracking for cognitive telerehabilitation and interactive school tasks in times of COVID-19,3.0,29.75,0.0,26.44
3044,Trends in expert system development: A practicum content analysis in vocational education for over grow pandemic learning problems,0.0,35.61,6.0,17.89
3045,Simulations of COVID-19 spread by spatial agent-based model and ordinary differential equations,4.0,40.0,5.0,13.06
3046,Weak evidence for strong pandemic interventions: a 2019 WHO warning for the current COVID-19 crisis,6.0,25.09,4.0,23.0
3047,Difficulties in teaching online with blackboard learn effects of the COVID-19 pandemic in the western branch colleges of Qassim University,0.0,52.8,5.0,9.37
3048,Machine learning and statistical modelling for prediction of Novel COVID-19 patients case study: Jordan,1.0,31.69,4.0,19.22
3049,Modeling of coronavirus behavior to predict it's spread,4.0,33.42,2.0,17.39
3050,CovidGAN: Data Augmentation Using Auxiliary Classifier GAN for Improved Covid-19 Detection,1.0,46.7,2.0,14.06
3051,Variation of aerosol pollution in Peru during the quarantine due to COVID-19,4.0,32.4,5.0,15.25
3052,Quantifying COVID-19 Content in the Online Health Opinion War Using Machine Learning,6.0,19.45,5.0,16.35
3053,Mobile Learning in Higher Education: Structural Equation Model for Good Teaching Practices,0.0,38.33,3.0,15.63
3054,A design and performance analysis of a telemetry system for remote monitoring of turbidity of water during the covid-19 pandemic,3.0,29.65,4.0,19.36
3055,"Distance learning in vocational high schools during the covid-19 pandemic in West Java province, Indonesia",0.0,44.14,5.0,21.18
3056,Detection of coronavirus disease (COVID-19) based on deep features and support vector machine,1.0,55.91,0.0,10.89
3057,A neural network aided real-time hospital recommendation system,5.0,25.84,1.0,22.99
3058,Performance evaluation of the NASnet convolutional network in the automatic identification of COVID-19,1.0,43.0,2.0,15.92
3059,The price dynamics of hand sanitizers for COVID-19 in Indonesia: Exponential and cobweb forms,6.0,36.02,2.0,15.45
3060,A Hybrid COVID-19 Detection Model Using an Improved Marine Predators Algorithm and a Ranking-Based Diversity Reduction Strategy,1.0,46.0,4.0,14.2
3061,Designing a resilient supply chain: An approach to reduce drug shortages in epidemic outbreaks,6.0,27.47,4.0,15.38
3062,A bibliometric analysis of COVID-19 research using vosviewer,5.0,28.65,6.0,23.19
3063,Students’ intention to share information via social media: A case study of COVID-19 pandemic,0.0,26.34,6.0,26.1
3064,Level of use and satisfaction of e-commerce customers in covid-19 pandemic period: An information system success model (issm) approach,6.0,25.12,0.0,19.94
3065,Impact of the COVID-19 pandemic on online home learning: An explorative study of primary schools in Indonesia,0.0,50.38,6.0,13.37
3066,COVID 19: Impetus for “community spirits” among filipinos,6.0,24.16,4.0,21.57
3067,@@The Deployment of Drones in Sending Drugs and Patient Blood Samples COVID-19@@,3.0,33.49,4.0,15.56
3068,Application of seir model in covid-19 and the effect of lockdown on reducing the number of active cases,4.0,53.26,3.0,9.66
3069,"Forced shifting to e-learning during the covid-19 outbreak: Information quality, system quality, service quality, and goal orientation influence to e-learning satisfaction and perceived performance",0.0,38.49,6.0,23.58
3070,Deep learning system to screen coronavirus disease 2019 pneumonia,1.0,38.15,2.0,13.22
3071,An agent-based model of COVID-19,4.0,26.44,2.0,16.97
3072,Impact of corona virus – A statistical evaluation,5.0,34.4,4.0,21.95
3073,Computational models that matter during a global pandemic outbreak: A call to action,6.0,29.68,5.0,16.35
3074,Predicting commercially available antiviral drugs that may act on the novel coronavirus (SARS-CoV-2) through a drug-target interaction deep learning model,2.0,58.44,4.0,13.1
3075,Early Prediction of the 2019 Novel Coronavirus Outbreak in the Mainland China Based on Simple Mathematical Model,4.0,44.38,2.0,12.3
3076,Geographical tracking and mapping of coronavirus disease COVID-19/severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) epidemic and associated events around the world: How 21st century GIS technologies are supporting the global fight against outbreaks and epidemics,4.0,30.14,2.0,20.12
3077,ActiveNet: A computer-vision based approach to determine lethargy,3.0,22.98,1.0,19.4
3078,MCNNet: Generalizing Fake News Detection with a Multichannel Convolutional Neural Network using a Novel COVID-19 Dataset,1.0,26.76,5.0,24.52
3079,An Interactive Simulator for COVID-19 Trend Analysis,4.0,42.16,5.0,17.46
3080,Adaptive COVID-19 Forecasting via Bayesian Optimization,4.0,28.6,1.0,18.85
3081,Analyzing Impact of Climate Variability on COVID-19 Outbreak: A Semantically-enhanced Theory-guided Data-driven Approach,5.0,25.03,6.0,23.55
3082,Concept Driven Search and Visualization System for Exploring Scientific Repositories,5.0,39.45,3.0,17.98
3083,Evolving Information Systems and Technology Research Issues for COVID-19 and Other Pandemics,6.0,38.0,3.0,16.98
3084,Emergence and growth of mobile money in modern india: A study on the effect of mobile money,6.0,35.73,3.0,20.91
3085,Impact of coronavirus (Covid-19) on the public,4.0,35.5,2.0,17.83
3086,Observance of patients’ rights by physicians and nurses from the covid-19 patients’ perspective,1.0,19.18,6.0,18.95
3087,Rapid retooling for emergency response with hybrid manufacturing,6.0,25.88,3.0,20.68
3088,Reinforcing sustainability assessment and reshaping technology innovation for highly sustainable manufacturing in the Post–COVID-19 Era,6.0,37.54,0.0,14.94
3089,"Quo vadimus: Humanism, going beyond the boundaries of capitalism and socialism",6.0,21.61,5.0,15.64
3090,Demand and supply of face masks during the COVID-19 pandemic,3.0,18.66,1.0,17.67
3091,Grow local manufacturing along US/Mexico border region for an integrated supply chain in the Post COVID-19 era,6.0,35.77,4.0,14.55
3092,Sustainable and Resilient Manufacturing for the Post-COVID-19 Era,6.0,33.31,3.0,20.31
3093,An Open Online Product Marketplace to Overcome Supply and Demand Chain Inefficiencies in Times of Crisis,6.0,35.16,3.0,20.6
3094,A complexity framework for self-engineering systems,3.0,24.97,0.0,18.87
3095,Toward standardization in biotechnology platforms to support smart manufacturing,3.0,22.24,6.0,21.67
3096,Prognostics and health management to improve resilient manufacturing,6.0,23.24,3.0,21.43
3097,Realizing environmentally conscious manufacturing in the post–COVID-19 era,6.0,42.09,3.0,14.31
3098,Empowering the workforce in post–covid-19 smart manufacturing systems,6.0,31.91,3.0,27.23
3099,Overcoming Challenges for Estimating Virus Spread Dynamics from Data,4.0,25.54,5.0,18.5
3100,Responding to COVID-19: The UW Medicine Information Technology Services Experience,3.0,31.07,0.0,17.42
3101,Modeling the epidemic dynamics and control of COVID-19 outbreak in China,4.0,64.4,2.0,10.04
3102,Towards an artificial intelligence framework for data-driven prediction of coronavirus clinical severity,2.0,25.54,4.0,16.44
3103,Breathe analyser for respiratory diseases: A review,1.0,24.73,3.0,17.91
3104,Multiagent live programming systems: Models and prospects for critical applications,3.0,21.28,0.0,18.38
3105,Novel coronavirus forecasting model using nonlinear autoregressive artificial neural network,4.0,45.42,1.0,15.72
3106,COVID – 19: Current pandemic and its societal impact,4.0,34.7,6.0,26.16
3107,Coronavirus – COVID-19 before and after solution through web application and app.,2.0,27.46,3.0,21.32
3108,Investigating Factors Affecting Intention to Use Government Websites for COVID-19-Related Information: An Empirical Study,6.0,35.06,5.0,16.63
3109,Construction of TCM Health Management Model for Patients with Convalescence of Coronavirus Disease Based on Artificial Intelligence,3.0,25.86,4.0,15.87
3110,Application and Exploration of Online Education of Art Design Subjects,0.0,37.43,3.0,12.45
3111,Analysis on the Influence of the Epidemic on the Education in China,0.0,37.55,6.0,17.26
3112,A Study on Academic Emotional Tendency of Online Learning for Foreign Language Majors under the Background of Epidemic Prevention and Control,0.0,32.9,4.0,15.81
3113,"Dilemmas, Countermeasures and Enlightenment of Large-scale real-time online teaching in the Context of Epidemic situation",0.0,31.98,5.0,23.26
3114,Study on epidemic prevention and control strategy of COVID-19 based on personnel flow prediction,4.0,31.12,5.0,17.19
3115,Thoughts on the construction of urban public transport emergency prevention and control system in China-learning from the United States,3.0,28.59,4.0,23.26
3116,A brief discussion about the impact of coronavirus disease 2019 on teaching in colleges and universities of China,0.0,39.5,4.0,17.1
3117,Application and development of automation technology in novel coronavirus (2019-nCoV) outbreak,3.0,27.54,6.0,15.1
3118,Influence and response of China's cross-border E-commerce exports under PHEIC-take COVID-19 as an example,6.0,35.21,4.0,16.21
3119,Research on online teaching of music performance based on diversification and intelligence-take the online music teaching during the COVID-19 as an example,0.0,36.55,3.0,15.91
3120,Research on the social responsibility of sports stars in the era of internet,6.0,40.95,1.0,12.04
3121,Tour guide online independent learning study from the virtual community perspective,0.0,42.9,6.0,12.5
3122,"COVID-19, Bacille Calmette-Guerin (BCG) and tuberculosis: Cases and recovery previsions with deep learning sequence prediction",4.0,31.79,5.0,13.06
3123,Degraded mode of dual stator induction motor in pumping,3.0,19.79,4.0,15.07
3124,Enterprise Resilience of Maritime Container Ports to Pandemic and Other Emergent Conditions,6.0,42.57,2.0,16.13
3125,The Deployment of a LoRaWAN-Based IoT Air Quality Sensor Network for Public Good,4.0,27.22,3.0,22.22
3126,Decision Support and Planning Tool to Facilitate Urban Rooftop Farming,3.0,27.55,1.0,19.27
3127,Research on the Influencing Factors and Management Countermeasures of College Students' Sense of Security under the Environment of Big Data-an Empirical Analysis based on the Event of COVID-19,6.0,25.01,0.0,21.85
3128,Within the lack of chest COVID-19 X-ray dataset: A novel detection model based on GAN and deep transfer learning,1.0,51.14,2.0,10.19
3129,Protein interaction with dendrimer monolayers: Energy and surface topology,2.0,53.19,4.0,9.41
3130,"Give more data, awareness and control to individual citizens, and they will help COVID-19 containment",3.0,34.04,5.0,17.89
3131,Repurposing didanosine as a potential treatment for covid-19 using single-cell RNA sequencing data,2.0,49.08,1.0,11.06
3132,Are your IT staff ready for the pandemic-driven insider threat?,6.0,30.06,0.0,15.07
3133,Impact on biometrics of Covid-19,6.0,36.76,3.0,14.85
3134,"Development of a novel, genome subtraction-derived, sars-cov-2-specific covid-19-nsp2 real-time rt-pcr assay and its evaluation using clinical specimens",2.0,43.17,1.0,16.9
3135,"Commentary on Ferguson, et al., “Impact of Non-pharmaceutical Interventions (NPIs) to Reduce COVID-19 Mortality and Healthcare Demand”",4.0,21.44,6.0,18.95
3136,"Wearable cardiorespiratory monitoring employing a multimodal digital patch stethoscope: Estimation of ecg, pep, lvetand respiration using a 55 mm single-lead ecg and phonocardiogram",2.0,31.92,4.0,18.54
3137,Characterizing the Propagation of Situational Information in Social Media during COVID-19 Epidemic: A Case Study on Weibo,5.0,34.87,6.0,19.33
3138,"Computers and viral diseases. Preliminary bioinformatics studies on the design of a synthetic vaccine and a preventative peptidomimetic antagonist against the SARS-CoV-2 (2019-nCoV, COVID-19) coronavirus",2.0,41.59,5.0,10.17
3139,RT-QPCR testing of SARS-COV-2: A primer,2.0,28.9,1.0,23.85
3140,A novel reverse transcription loop-mediated isothermal amplification method for rapid detection of sars-cov-2,2.0,42.01,1.0,23.66
3141,How simulation modelling can help reduce the impact of COVID-19,4.0,23.22,6.0,18.58
3142,Corona virus COVID 19: The journey around the globe so far,4.0,38.9,2.0,15.31
3143,The economic cost of COVID-19: A potential pandemic impact on Indian economy,6.0,35.65,4.0,26.54
3144,Role of hr trends in corona-crisis management and organizational sustainability readiness,6.0,31.3,3.0,15.98
3145,Exploring COVID-19 pandemic: Its impact to global aviation industry and the key strategy,6.0,34.66,4.0,24.48
3146,Coronavirus outbreak causes halal sex tourism to suffer,6.0,34.33,4.0,19.1
3147,COVID-19 anxiety: Malaysian regulatory mechanisms on mental health,6.0,32.08,3.0,17.35
3148,2019 novel coronavirus disease (Covid-19): Detection and diagnosis system using iot based smart glasses,1.0,23.65,3.0,23.35
3149,Recent trends in Indian higher education system,0.0,30.86,6.0,18.45
3150,Will coronavirus trigger global transportation recession?,6.0,27.25,3.0,19.9
3151,A comprehensive overview on the implications of financial stability and key policies that will mitigate the impacts of COVID-19,6.0,33.25,3.0,15.92
3152,Visualizing the effect of COVID-19 pandemic in India using python,4.0,37.98,5.0,16.83
3153,Influence of information quality on the development of COVID-19 pandemic in Indonesian,6.0,22.14,3.0,19.47
3154,COVID-19 and its initial signalling effects on the stock market in India,6.0,34.03,4.0,21.45
3155,ECL model its impact in the midst of COVID-19 global crisis-the test of a financial crisis driven model in times of global crisis,6.0,33.54,4.0,15.49
3156,An Empirical Analysis of Total Retail Sales of Consumer Goods Based on Holt-winters,6.0,31.07,4.0,27.93
3157,A survey of distance learning in Morocco during COVID-19,0.0,40.63,3.0,11.48
3158,A Study on the Intention to Use the Online Face Mask Ordering System - An Application of Network Psychometrics,6.0,23.68,1.0,18.99
3159,Multi-Angle Head Pose Classification when Wearing the Mask for Face Recognition under the COVID-19 Coronavirus Epidemic,1.0,47.37,3.0,13.2
3160,Health Information Exchange with Blockchain amid Covid-19-like Pandemics,3.0,39.26,5.0,22.21
3161,Contact Tracing App for Containing Diseases Spread,3.0,30.01,5.0,14.78
3162,Smart contract and blockchain for crowdfunding platform,3.0,25.98,6.0,21.73
3163,Managing patient medical record using blockchain in developing countries: Challenges and security issues,3.0,45.03,4.0,12.84
3164,Rapid Implementation of an Inpatient Telehealth Program during the COVID-19 Pandemic,3.0,38.18,0.0,18.81
3165,"Effects of the Disastrous Pandemic COVID 19 on Learning Styles, Activities and Mental Health of Young Indian Students-A Machine Learning Approach",0.0,26.21,4.0,20.62
3166,Design and development of low cost humanoid robot with thermal temperature scanner for COVID-19 virus preliminary identification,3.0,32.62,1.0,17.16
3167,Multilevel voter identity protocol for secure online voting,3.0,28.27,1.0,17.08
3168,Covid-19 pandemic: Langkawi vocational college student challenge in using google classroom for teaching and learning (t&l),0.0,38.13,6.0,14.42
3169,Design of a smart medical bracelet prototype for COVID-19 based on wireless sensor networks,3.0,40.57,4.0,13.47
3170,Analysis loyalty in video conference application zoom on covid 19 quarantine in Jakarta,0.0,19.8,6.0,18.23
3171,Role of mobile communication with emerging technology in COVID’19,3.0,33.01,4.0,18.77
3172,Analysing COVID-19 news impact on social media aggregation,5.0,38.44,6.0,11.28
3173,Mental and emotional competencies of leader's dealing with disruptive business environment - A conceptual review,6.0,36.11,3.0,16.56
3174,A study of the universal basic income for developing countries,6.0,21.36,4.0,18.35
3175,Vision ⇜healthy India⇝- changes and challenges in healthcare management system,3.0,32.65,6.0,18.2
3176,SARS-CoV-2 (COVID-19): New discoveries and current challenges,2.0,24.39,4.0,18.22
3177,"Covid-19, Adverse Scrutiny and The Journey to Code: where next for biometric tech?",6.0,23.28,3.0,15.22
3178,Use of available data to inform the COVID-19 outbreak in South Africa: A case study,4.0,27.99,5.0,21.89
3179,Sars-cov-2 inflammatory syndrome. Clinical features and rationale for immunological treatment,2.0,44.39,4.0,10.87
3180,Functional role of dietary intervention to improve the outcome of COVID-19: A hypothesis of work,2.0,29.85,4.0,29.03
3181,Structural and evolutionary analysis indicate that the sars-COV-2 mpro is a challenging target for small-molecule inhibitor design,2.0,58.92,4.0,9.73
3182,AI-Driven Tools for Coronavirus Outbreak: Need of Active Learning and Cross-Population Train/Test Models on Multitudinal/Multimodal Data,1.0,19.21,5.0,19.07
3183,Smoking-mediated upregulation of the androgen pathway leads to increased sars-cov-2 susceptibility,2.0,47.63,4.0,14.31
3184,Potential inhibitors for novel coronavirus protease identified by virtual screening of 606 million compounds,2.0,65.22,4.0,9.91
3185,"COVID-19 and individual genetic susceptibility/receptivity: Role of ACE1/ACE2 genes, immunity, inflammation and coagulation. might the double x-chromosome in females be protective against SARS-COV-2 compared to the single x-chromosome in males?",2.0,44.93,6.0,15.72
3186,Hybridization chain reactions targeting the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),2.0,40.11,1.0,19.02
3187,A multi-level influence model of COVID-19 themed cybercrime,6.0,39.77,5.0,15.35
3188,What drives unverified information sharing and cyberchondria during the COVID-19 pandemic?,6.0,35.68,5.0,13.83
3189,The problem of social stigma during a pandemic caused by COVID-19,6.0,22.6,3.0,14.66
3190,Note-on-Watch: Live Scribing from Board-works to Class-notes,3.0,24.16,0.0,20.44
3191,Smartphone and Sensor based Health Monitoring Enabled with IoT and ML,3.0,25.72,5.0,17.94
3192,Advocating for Users' Privacy Protections: A Case study of COVID-19 apps,3.0,31.4,5.0,14.79
3193,Crisis Volunteering Nerds: Three Months after COVID-19 Hackathon #WirVsVirus,6.0,24.26,0.0,16.93
3194,Tackling Big Data and Black Swans through Fractal Approach and Quantum Technology,5.0,24.08,4.0,16.81
3195,MAS-SEIR-II Simulation on COVID-19 in China,4.0,35.11,3.0,13.83
3196,Usability Analysis of Educational Information Systems from Student's Perspective,0.0,44.53,4.0,13.56
3197,Data Privacy Maturity Assessment Practice of Digital Transformation Enterprises under the COVID-19: Taking an Industrial Company in Xiamen as an Example,6.0,40.88,5.0,17.21
3198,Analysis of the Impact of COVID-19 Outbreak on China,6.0,32.87,4.0,21.46
3199,Will you be my quarantine: A computer vision and inertial sensor based home exercise system,3.0,32.25,5.0,20.32
3200,NetNCSP: Nonoverlapping closed sequential pattern mining,5.0,33.78,2.0,16.9
3201,Predicting COVID-19 Evolution during Mid-March Crisis,4.0,28.97,5.0,17.51
3202,Asymmetric U-shape Network for Contour Detection on Nonwoven Images,1.0,36.83,3.0,16.0
3203,VADR: Validation and annotation of virus sequence submissions to GenBank,2.0,36.21,5.0,18.2
3204,Emotional Amplification during Live-Streaming: Evidence from Comments during and after News Events,5.0,28.36,6.0,27.37
3205,System design of safety road network in urban morphology prevention during COVID-19 based on digital simulation technology,4.0,33.0,3.0,17.58
3206,Naive Bayes classifier for predicting the factors that influence death due to covid-19 in China,4.0,22.34,5.0,19.45
3207,Education’s response to the covid-19 pandemic reveals online education’s three enduring challenges,0.0,45.6,6.0,17.95
3208,Organization of Online Chinese Teaching Activities in Township Primary Schools during the Epidemic: A Case Study Based on Activity Theory,0.0,37.08,4.0,16.28
3209,Problems and suggestions of online learning for Chemical Engineering Majors in colleges and universities,0.0,34.4,2.0,13.18
3210,The difference of pre-class preview time affects online teaching quality,0.0,43.42,4.0,13.97
3211,Design and Implementation of intelligent Learning Companion System Based on WeChat Mini Program,0.0,35.13,3.0,23.59
3212,Future Education Trend Learned from the Covid-19 Pandemic: Take ≪artificial Intelligence≫ Online Course As an Example,0.0,37.43,5.0,14.09
3213,Study on the application of network resources in home teaching,0.0,26.08,6.0,16.91
3214,The Reform of Ideological and Political Course Online Teaching during COVID-19 Outbreak A Case Study of Sichuan Technology and Business University,0.0,35.85,4.0,15.57
3215,The Effects of the Covid-19 Pandemic on Italian Learning Ecosystems: the School Teachers’ Perspective at the steady state,0.0,34.76,6.0,16.12
3216,The operation of smart online teaching of college english on the basis of the advanced technology of computer and information in vocational colleges,0.0,47.56,3.0,12.22
3217,Low cost thermal sensor array for wide area monitoring,3.0,29.98,1.0,16.99
3218,Mechanical ventilation device with adapted parameters to assist patients infected with the SARS-CoV-2 virus,3.0,33.98,2.0,16.3
3219,Design of a mechatronic solution for the protection of personnel professionally exposed to SARS-CoV-2 virus contamination,3.0,32.79,2.0,15.2
3220,Using Blockchain in the agri-food sector following SARS-CoV-2 pandemic,6.0,28.1,3.0,27.92
3221,Factors that influence the change of human behavior in student's online activity,6.0,25.84,0.0,25.21
3222,Didactic Implementation of a Real-Time Biomonitoring Platform,0.0,24.2,3.0,18.68
3223,Research on infrared body temperature measurement - Virus spreading prevention,3.0,29.53,1.0,16.88
3224,Web application for timeline representation of COVID-19 data in Romania,5.0,24.92,4.0,20.07
3225,A Comprehensive Predictive Evaluation Model Based on T-S Fuzzy Neural Network and Regression Fitting Cross Analysis,4.0,25.92,5.0,17.62
3226,Early detection of COVID19 by deep learning transfer Model for populations in isolated rural areas,1.0,39.96,3.0,12.09
3227,A Survey on how computer vision can response to urgent need to contribute in COVID-19 pandemics,4.0,20.66,1.0,17.9
3228,Development of a clinical decision support system for the early detection of COVID-19 using deep learning based on chest radiographic images,1.0,50.8,4.0,13.25
3229,Analysis of the spatial and temporal evolution of PM2.5 pollution in China during COVID -19 epidemic,4.0,46.15,2.0,12.17
3230,The First-Three-Month Review of Research on Covid-19: A Scientometrics Analysis,6.0,27.78,5.0,20.76
3231,Innovation Strategies of Mature Resilient Businesses during the Covid-19 crisis,6.0,33.67,5.0,14.53
3232,Research on information-based teaching and its influence on future education under the background of epidemic situation,0.0,34.89,5.0,16.3
3233,Address business crisis caused by COVID-19 with collaborative intelligent manufacturing technologies,6.0,33.06,3.0,19.41
3234,Construction and implementation of blended online teaching mode based on live broadcasting and MOOC,0.0,36.86,5.0,13.52
3235,Thinking and practice of online teaching under COVID-19 Epidemic,0.0,36.87,3.0,11.87
3236,AI-enabled Microscopic Blood Analysis for Microfluidic COVID-19 Hematology,1.0,37.05,3.0,19.5
3237,Infrared Imaging for Human Thermography and Breast Tumor Classification using Thermal Images,1.0,37.87,3.0,14.5
3238,Legal and pedagogical aspects of e-education,0.0,37.82,6.0,15.94
3239,Detection and Tracking Contagion using IoT-Edge Technologies: Confronting COVID-19 Pandemic,3.0,30.75,4.0,14.79
3240,A Mathematical Model of Lung Functionality using Pressure Signal for Volume-Controlled Ventilation,1.0,38.96,4.0,17.78
3241,Work-in-Progress-Learning about Virtual Worlds in Virtual Worlds: How Remote Learning in a Pandemic Can Inform Future Teaching,0.0,49.45,6.0,10.6
3242,Work-in-Progress-The Sudden Requirement to Work from Home Due to COVID-19 Pandemic Restrictions: Attitudes and Changes in Perceived Value of Physical and Immersive Workspaces,0.0,28.71,6.0,24.74
3243,Modeling the emergence of COVID-19: A systems approach,4.0,28.86,3.0,16.4
3244,Mobile Laboratory Routing Problem for COVID-19 Testing Considering Limited Capacities of Hospitals,3.0,36.79,1.0,18.01
3245,Prediction of COVID-19 Outbreak in India adopting bhilwara model of Containment,4.0,57.78,1.0,8.3
3246,Modelling logistic growth model for covid-19 pandemic in India,4.0,55.71,1.0,10.31
3247,Emotional analysis using twitter data during pandemic situation: Covid-19,5.0,40.28,6.0,16.52
